name,category,link
Offline Robot Programming and Simulation,Technology,https://en.wikipedia.org/wiki/Offline
ABB RobotStudio,Technology,https://en.wikipedia.org/wiki/ABB
Roboguide,Technology, 
Polyscope software,Technology,https://en.wikipedia.org/wiki/software
KUKASim,Technology, 
Delmia V5 Robotics,Technology,https://en.wikipedia.org/wiki/Delmia
URSim,Technology, 
ARIA programming package,Technology,https://en.wikipedia.org/wiki/ARIA
Middleware,Technology,https://en.wikipedia.org/wiki/Middleware
ROS (Robot Operating System),Technology,https://en.wikipedia.org/wiki/ROS
Augmented Reality (AR) and Virtual Reality (VR),Technology,https://en.wikipedia.org/wiki/Augmented Reality
Virtual Reality,Technology,https://en.wikipedia.org/wiki/Virtual Reality
VR glasses,Technology,https://en.wikipedia.org/wiki/VR glasses
Oculus Rift HMD,Technology,https://en.wikipedia.org/wiki/Oculus Rift
HTC Vive,Technology,https://en.wikipedia.org/wiki/HTC Vive
Augmented Reality,Technology,https://en.wikipedia.org/wiki/Augmented Reality
AR glasses,Technology,https://en.wikipedia.org/wiki/AR
Microsoft HoloLens,Technology,https://en.wikipedia.org/wiki/Microsoft HoloLens
Vuzix Smart Glasses,Technology,https://en.wikipedia.org/wiki/Vuzix
Magic Leap 1,Technology,https://en.wikipedia.org/wiki/Magic Leap
Glass-up F4,Technology,https://en.wikipedia.org/wiki/F4
LindeGO smart glasses,Technology,https://en.wikipedia.org/wiki/smart glasses
Epson Moverio BT-35E,Technology,https://en.wikipedia.org/wiki/Epson
Meta 2 AR glasses,Technology,https://en.wikipedia.org/wiki/Meta 2
AR Software Development Kits,Technology,https://en.wikipedia.org/wiki/Software Development
Soldamatic Simulator,Technology,https://en.wikipedia.org/wiki/Simulator
HoloToolkit (HTK),Technology,https://en.wikipedia.org/wiki/HTK
Google Project Tango Development Kit,Technology,https://en.wikipedia.org/wiki/Google
ARKit framework,Technology,https://en.wikipedia.org/wiki/ARKit
Vuforia Engine,Technology,https://en.wikipedia.org/wiki/Engine
Pixyz Software,Technology,https://en.wikipedia.org/wiki/Software
ARCore,Technology,https://en.wikipedia.org/wiki/ARCore
Wikitude Studio,Technology,https://en.wikipedia.org/wiki/Wikitude
Maxst,Technology, 
EasyAR,Technology, 
1 Mixed Reality Toolkit (MRTK),Technology,https://en.wikipedia.org/wiki/Mixed Reality
AR and VR Software development Platforms and Technologies,Technology,https://en.wikipedia.org/wiki/VR
Unity,Technology,https://en.wikipedia.org/wiki/Unity
Autodesk 3ds Max,Technology,https://en.wikipedia.org/wiki/Autodesk 3ds Max
Blender,Technology,https://en.wikipedia.org/wiki/Blender
Motion Capture (MoCap),Technology,https://en.wikipedia.org/wiki/Motion Capture
WebXR,Technology, 
Additive manufacturing,Technology,https://en.wikipedia.org/wiki/Additive manufacturing
3D Printers,Technology,https://en.wikipedia.org/wiki/3D Printers
Creality C,Technology, 
DR10,Technology,https://en.wikipedia.org/wiki/DR10
Craftbot plus,Technology,https://en.wikipedia.org/wiki/plus
3D Printing Technologies,Technology,https://en.wikipedia.org/wiki/3D Printing
Fused Deposition Modeling (FDM),Technology,https://en.wikipedia.org/wiki/Fused Deposition Modeling
Selective Laser Sintering (SLS),Technology,https://en.wikipedia.org/wiki/Selective Laser Sintering
Selective Laser Melting (SLM),Technology,https://en.wikipedia.org/wiki/Selective Laser Melting
Polyjet Modeling (PJM),Technology,https://en.wikipedia.org/wiki/Modeling
Fused Filament Fabrication,Technology,https://en.wikipedia.org/wiki/Fused Filament Fabrication
Cybersecurity Technologies,Technology,https://en.wikipedia.org/wiki/Cybersecurity
Security Virtualization,Technology,https://en.wikipedia.org/wiki/Security
Virtual Machine Monitor (VMM),Technology,https://en.wikipedia.org/wiki/Virtual Machine Monitor
Data Protection,Technology,https://en.wikipedia.org/wiki/Data Protection
Secure Communication Protocols,Technology,https://en.wikipedia.org/wiki/Secure Communication
MACsec,Technology,https://en.wikipedia.org/wiki/MACsec
Key Management System (KMS),Technology,https://en.wikipedia.org/wiki/Key Management
Public Key Infrastructure (PKI),Technology,https://en.wikipedia.org/wiki/Public Key Infrastructure
Encryption,Technology,https://en.wikipedia.org/wiki/Encryption
Tokenization,Technology,https://en.wikipedia.org/wiki/Tokenization
Blockchain,Technology,https://en.wikipedia.org/wiki/Blockchain
Hyperledger Fabric,Technology,https://en.wikipedia.org/wiki/Hyperledger
Ethereum virtual machine,Technology,https://en.wikipedia.org/wiki/Ethereum virtual machine
Identity and Access Management,Technology,https://en.wikipedia.org/wiki/Identity and Access Management
Protocols,Technology,https://en.wikipedia.org/wiki/Protocols
Lightweight Directory Access Protocol (LDAP),Technology,https://en.wikipedia.org/wiki/Lightweight Directory Access Protocol
User Management,Technology,https://en.wikipedia.org/wiki/User
Passwords,Technology,https://en.wikipedia.org/wiki/Passwords
Authentication,Technology,https://en.wikipedia.org/wiki/Authentication
Authorization,Technology,https://en.wikipedia.org/wiki/Authorization
Security Operations,Technology,https://en.wikipedia.org/wiki/Security
Change Management,Technology,https://en.wikipedia.org/wiki/Change Management
Asset Management,Technology,https://en.wikipedia.org/wiki/Asset Management
Threat Detection and Analysis,Technology,https://en.wikipedia.org/wiki/Threat Detection
Threat Intelligence,Technology,https://en.wikipedia.org/wiki/Threat
Honeypot Networks,Technology,https://en.wikipedia.org/wiki/Honeypot
Advanced Malware Detection,Technology,https://en.wikipedia.org/wiki/Advanced
Foundational Security,Technology,https://en.wikipedia.org/wiki/Foundational
Network Security,Technology,https://en.wikipedia.org/wiki/Network Security
Firewall,Technology,https://en.wikipedia.org/wiki/Firewall
Port Knocking Method,Technology,https://en.wikipedia.org/wiki/Port Knocking
Intrusion Detection Systems/Intrusion Prevention Systems (IDS/IPS),Technology,https://en.wikipedia.org/wiki/Intrusion Detection Systems
Network Access Control,Technology,https://en.wikipedia.org/wiki/Network Access Control
Virtual Private Networks (VPN),Technology,https://en.wikipedia.org/wiki/Virtual Private Networks
DDoS Mitigation,Technology,https://en.wikipedia.org/wiki/DDoS Mitigation
